Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901CW10215,29-01-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.498035,Daylight,Westminster,None,-0.14745,1,2,Metropolitan Police,Dry,Single carriageway,30,06:45,Urban,Fine no high winds,Car
200901CW10216,01-02-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.522734,Daylight,Westminster,None,-0.151204,1,1,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
200901CW10217,04-02-2021,Wednesday,Auto traffic signal,Crossroads,Fatal,51.540542,Daylight,Camden,None,-0.139955,1,2,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Car
200901CW10219,05-02-2021,Thursday,Auto traffic signal,Crossroads,Fatal,51.523881,Daylight,Westminster,None,-0.144094,1,1,Metropolitan Police,Dry,Dual carriageway,30,07:40,Urban,Fine no high winds,Car
200901CW10220,09-02-2021,Monday,Auto traffic signal,T or staggered junction,Fatal,51.500909,Darkness - lights lit,Westminster,None,-0.124568,1,2,Metropolitan Police,Dry,Single carriageway,30,18:10,Urban,Fine no high winds,Car
200901CW10222,12-02-2021,Thursday,Give way or uncontrolled,Crossroads,Fatal,51.516112,Daylight,Westminster,None,-0.182028,1,2,Metropolitan Police,Dry,Single carriageway,30,12:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10223,10-02-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.522115,Daylight,Westminster,None,-0.157572,1,1,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car
200901CW10224,30-01-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.537504,Daylight,Camden,None,-0.193,1,1,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,,Motorcycle over 500cc
200901CW10226,16-02-2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.532682,Darkness - lights lit,Westminster,None,-0.166229,1,2,Metropolitan Police,Dry,Single carriageway,30,05:30,Urban,Fine no high winds,Car
200901CW10227,15-02-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.485359,Daylight,Westminster,None,-0.136297,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:05,Urban,Raining no high winds,Car
200901CW10231,12-02-2021,Thursday,Auto traffic signal,Crossroads,Fatal,51.538178,Darkness - lights lit,Camden,None,-0.138321,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,19:45,Urban,,Car
200901CW10233,13-02-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.518372,Daylight,Westminster,None,-0.136967,1,1,Metropolitan Police,Dry,One way street,30,13:30,Urban,Fine no high winds,Car
200901CW10234,13-02-2021,Friday,Give way or uncontrolled,Private drive or entrance,Fatal,51.502339,Daylight,Westminster,None,-0.152318,1,2,Metropolitan Police,Dry,Single carriageway,30,15:17,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200901CW10235,13-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.491495,Daylight,Westminster,None,-0.149011,1,1,Metropolitan Police,Dry,Single carriageway,30,14:09,Urban,Fine no high winds,Car
200901CW10237,13-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.516756,Darkness - lights lit,Westminster,None,-0.142798,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,17:30,Urban,Fine no high winds,Motorcycle over 500cc
200901CW10238,14-02-2021,Saturday,Auto traffic signal,Roundabout,Fatal,51.50248,Daylight,Westminster,None,-0.149863,2,1,Metropolitan Police,Dry,Roundabout,30,09:46,Urban,Fine no high winds,Car
200901CW10239,14-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.517613,Daylight,Westminster,None,-0.180239,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:20,Urban,Fine no high winds,Car
200901CW10240,14-02-2021,Saturday,Auto traffic signal,T or staggered junction,Fatal,51.545468,Darkness - lights lit,Camden,None,-0.155763,1,1,Metropolitan Police,Dry,Single carriageway,30,18:25,Urban,Fine no high winds,Motorcycle 125cc and under
200901CW10241,14-02-2021,Saturday,Auto traffic signal,T or staggered junction,Fatal,51.5063,Daylight,Westminster,None,-0.15259,2,2,Metropolitan Police,Dry,Dual carriageway,40,16:28,Urban,Fine no high winds,Car
200901CW10242,14-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.514855,Daylight,Westminster,None,-0.142011,1,1,Metropolitan Police,Dry,Single carriageway,30,14:00,Urban,Fine no high winds,Motorcycle 50cc and under
200901CW10243,14-02-2021,Saturday,Auto traffic signal,Crossroads,Fatal,51.496649,Darkness - lights lit,Westminster,None,-0.139438,1,1,Metropolitan Police,Dry,Single carriageway,30,22:11,Urban,Fine no high winds,Car
200901CW10244,14-04-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.511736,Darkness - lights lit,Westminster,None,-0.132482,2,2,Metropolitan Police,Dry,Single carriageway,30,21:20,Urban,Fine no high winds,Car
200901CW10245,04-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.526965,Darkness - lights lit,Camden,None,-0.134454,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:15,Urban,Raining no high winds,Car
200901CW10246,09-02-2021,Monday,Auto traffic signal,T or staggered junction,Fatal,51.548745,Daylight,Camden,None,-0.141207,1,2,Metropolitan Police,Dry,Single carriageway,30,11:35,Urban,Fine no high winds,Car
200901CW10247,16-02-2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.510753,Daylight,Westminster,None,-0.144195,2,1,Metropolitan Police,Dry,Single carriageway,30,18:40,Urban,Fine no high winds,Car
200901CW10248,16-02-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.506257,Darkness - lights lit,Westminster,None,-0.12723,1,1,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200901CW10249,16-02-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.493225,Daylight,Westminster,None,-0.139001,1,2,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200901CW10250,14-02-2021,Saturday,Give way or uncontrolled,Crossroads,Fatal,51.519915,Darkness - lights lit,Westminster,None,-0.143535,3,2,Metropolitan Police,Frost or ice,Single carriageway,30,04:30,Urban,Fine no high winds,Car
200901CW10251,27-01-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.511075,Daylight,Westminster,None,-0.11925,1,1,Metropolitan Police,Dry,Dual carriageway,30,13:15,Urban,Fine no high winds,Car
200901CW10252,08-01-2021,Thursday,Give way or uncontrolled,Crossroads,Fatal,51.513361,Darkness - lights lit,Westminster,None,-0.149854,1,2,Metropolitan Police,Wet or damp,One way street,30,00:05,Urban,Fine no high winds,Car
200901CW10253,17-02-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.506632,Daylight,Westminster,None,-0.133843,1,2,Metropolitan Police,Dry,Single carriageway,30,07:50,Urban,Fine no high winds,Car
200901CW10254,13-02-2021,Friday,Auto traffic signal,Crossroads,Fatal,51.548735,Darkness - lights lit,Islington,None,-0.129236,1,2,Metropolitan Police,Dry,Single carriageway,30,21:37,Urban,Fine no high winds,Car
200901CW10258,09-02-2021,Monday,Give way or uncontrolled,Roundabout,Fatal,51.519721,Darkness - lights lit,Westminster,None,-0.176984,1,2,Metropolitan Police,Dry,Roundabout,30,19:00,Urban,Fine no high winds,Car
200901CW10259,14-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.506727,Darkness - lights lit,Westminster,None,-0.128508,1,1,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200901CW10260,18-02-2021,Wednesday,Auto traffic signal,Crossroads,Fatal,51.521815,Darkness - lights lit,Westminster,None,-0.172864,1,2,Metropolitan Police,Dry,Single carriageway,30,17:03,Urban,Fine no high winds,Car
200901CW10261,18-02-2021,Wednesday,Auto traffic signal,Crossroads,Fatal,51.53888,Darkness - lights lit,Camden,None,-0.142907,1,1,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Motorcycle 125cc and under
200901CW10262,19-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.512383,Darkness - lights lit,Westminster,None,-0.167765,2,2,Metropolitan Police,Dry,Single carriageway,30,03:43,Urban,Fine no high winds,Car
200901CW10263,18-02-2021,Wednesday,Auto traffic signal,Crossroads,Fatal,51.521414,Darkness - lights lit,Camden,None,-0.113491,1,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
200901CW10264,18-02-2021,Wednesday,Auto traffic signal,T or staggered junction,Fatal,51.523027,Daylight,Westminster,None,-0.152634,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:17,Urban,Fine no high winds,Car
200901CW10265,17-02-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.510711,Daylight,Westminster,None,-0.118977,1,1,Metropolitan Police,Dry,Dual carriageway,30,15:20,Urban,Fine no high winds,Motorcycle 50cc and under
200901CW10266,17-02-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.53348,Darkness - lights lit,Westminster,None,-0.165476,1,1,Metropolitan Police,Dry,Single carriageway,30,19:55,Urban,Fine no high winds,Car
200901CW10267,13-02-2021,Friday,Auto traffic signal,Crossroads,Fatal,51.538449,Darkness - lights lit,Camden,None,-0.144078,1,1,Metropolitan Police,Dry,One way street,30,23:00,Urban,,Car
200901CW10268,13-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.515483,Darkness - lights lit,Westminster,None,-0.147606,1,1,Metropolitan Police,Dry,Single carriageway,30,20:36,Urban,Fine no high winds,Motorcycle 125cc and under
200901CW10270,10-02-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.528549,Daylight,Camden,None,-0.132226,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,11:35,Urban,Fine no high winds,Car
200901CW10271,06-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.517975,Darkness - lights lit,Camden,None,-0.12329,2,2,Metropolitan Police,Wet or damp,One way street,30,02:45,Urban,Fine no high winds,Car
200901CW10272,13-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.53283,Daylight,Brent,None,-0.204864,2,2,Metropolitan Police,Dry,Single carriageway,30,15:15,Urban,Fine no high winds,Car
200901CW10273,18-02-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Fatal,51.493508,Daylight,Westminster,None,-0.139854,1,2,Metropolitan Police,Dry,Single carriageway,30,11:25,Urban,Fine no high winds,Car
200901CW10276,13-02-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.556709,Daylight,Camden,None,-0.196278,1,2,Metropolitan Police,Dry,Single carriageway,30,15:48,Urban,Fine no high winds,Car
200901CW10277,17-02-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.530723,Daylight,Westminster,None,-0.167461,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
200901CW10278,20-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.494066,Daylight,Westminster,None,-0.140984,1,2,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car
200901CW10279,21-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.515043,Darkness - lights lit,Westminster,None,-0.194322,1,2,Metropolitan Police,Dry,Single carriageway,30,02:39,Urban,Fine no high winds,Motorcycle over 500cc
200901CW10282,21-02-2021,Saturday,Auto traffic signal,T or staggered junction,Fatal,51.506559,Daylight,Westminster,None,-0.123615,1,1,Metropolitan Police,Dry,Dual carriageway,30,15:10,Urban,Fine no high winds,Car
200901CW10283,21-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.515675,Daylight,Westminster,None,-0.188676,1,1,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car
200901CW10284,21-02-2021,Saturday,Give way or uncontrolled,T or staggered junction,Fatal,51.551143,Daylight,Brent,None,-0.208615,3,2,Metropolitan Police,Dry,Single carriageway,30,18:25,Urban,Fine no high winds,Car
200901CW10285,21-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.500577,Darkness - lights lit,Westminster,None,-0.12631,1,1,Metropolitan Police,Dry,Single carriageway,30,22:10,Urban,Fine no high winds,Car
200901CW10286,22-02-2021,Sunday,Give way or uncontrolled,Crossroads,Fatal,51.537827,Daylight,Camden,None,-0.184768,1,2,Metropolitan Police,Dry,Single carriageway,30,13:08,Urban,Fine no high winds,Car
200901CW10288,08-01-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.521922,Daylight,Westminster,None,-0.185545,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
200901CW10289,09-01-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.524551,Daylight,Westminster,None,-0.169583,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,,Motorcycle over 500cc
200901CW10290,09-01-2021,Friday,Auto traffic signal,Crossroads,Fatal,51.497309,Daylight,Westminster,None,-0.135665,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,13:50,Urban,Other,Car
200901CW10292,13-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.515659,Daylight,Westminster,None,-0.164463,1,1,Metropolitan Police,Dry,Single carriageway,30,09:36,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901CW10295,12-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.550958,Daylight,Brent,None,-0.208334,1,1,Metropolitan Police,Snow,Single carriageway,30,16:06,Urban,Snowing no high winds,Car
200901CW10296,07-02-2021,Saturday,Auto traffic signal,T or staggered junction,Fatal,51.51936,Daylight,Westminster,None,-0.18853,2,2,Metropolitan Police,Dry,Dual carriageway,30,14:30,Urban,Fine no high winds,Motorcycle over 500cc
200901CW10298,24-02-2021,Tuesday,Auto traffic signal,T or staggered junction,Fatal,51.510547,Daylight,Westminster,None,-0.182682,1,2,Metropolitan Police,Dry,Single carriageway,30,13:40,Urban,Fine no high winds,Car
200901CW10299,24-02-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.516774,Daylight,Camden,None,-0.126943,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,13:03,Urban,Fine no high winds,Motorcycle 50cc and under
200901CW10300,21-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.521261,Darkness - lighting unknown,Westminster,None,-0.200995,1,1,Metropolitan Police,Dry,Single carriageway,30,05:40,Urban,,Car
200901CW10301,24-02-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.541546,Darkness - lights lit,Camden,None,-0.175246,1,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Car
200901CW10302,24-02-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.516384,Daylight,Camden,None,-0.130706,1,1,Metropolitan Police,Dry,Single carriageway,30,09:30,Urban,Fine no high winds,Car
200901CW10303,24-02-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.514174,Daylight,Westminster,None,-0.15011,1,1,Metropolitan Police,Dry,Single carriageway,30,11:53,Urban,Fine no high winds,Car
200901CW10308,23-02-2021,Monday,Give way or uncontrolled,Crossroads,Fatal,51.518183,Darkness - lights lit,Westminster,None,-0.14202,1,2,Metropolitan Police,Dry,Single carriageway,30,18:43,Urban,Fine no high winds,Car
200901CW10310,23-02-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.520008,Daylight,Westminster,None,-0.17236,2,2,Metropolitan Police,Dry,Dual carriageway,30,08:40,Urban,Fine no high winds,Car
200901CW10312,25-02-2021,Wednesday,Auto traffic signal,More than 4 arms (not roundabout),Fatal,51.507248,Darkness - lights lit,Westminster,None,-0.127334,1,2,Metropolitan Police,Dry,Single carriageway,30,19:15,Urban,Other,Car
200901CW10313,25-02-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Fatal,51.54041,Darkness - lights lit,Camden,None,-0.188992,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
200901CW10315,15-02-2021,Sunday,Give way or uncontrolled,T or staggered junction,Fatal,51.515277,Darkness - lights lit,Westminster,None,-0.192007,1,1,Metropolitan Police,Dry,Single carriageway,30,06:50,Urban,Fine no high winds,Car
200901CW10316,24-02-2021,Tuesday,Give way or uncontrolled,Crossroads,Fatal,51.491869,Daylight,Westminster,None,-0.132862,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:34,Urban,Fine no high winds,Car
200901CW10317,26-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.513416,Daylight,Westminster,None,-0.159076,1,2,Metropolitan Police,Dry,Single carriageway,30,10:55,Urban,Fine no high winds,Car
200901CW10318,26-02-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.514813,Daylight,Westminster,None,-0.145039,1,1,Metropolitan Police,Dry,Single carriageway,30,13:10,Urban,Fine no high winds,Car
200901CW10319,26-02-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.531632,Darkness - lights lit,Westminster,None,-0.185447,1,3,Metropolitan Police,Dry,Single carriageway,30,19:40,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901CW10320,26-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.522799,Darkness - lights lit,Westminster,None,-0.201655,1,2,Metropolitan Police,Dry,Single carriageway,30,19:46,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901CW10321,26-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.543029,Daylight,Camden,None,-0.166534,1,2,Metropolitan Police,Dry,Single carriageway,30,19:16,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901CW10322,27-02-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.487737,Darkness - lights lit,Westminster,None,-0.127557,1,3,Metropolitan Police,Dry,Single carriageway,30,00:45,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10324,15-02-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.523394,Darkness - lights lit,Westminster,None,-0.147429,1,3,Metropolitan Police,Dry,Dual carriageway,30,17:20,Urban,Fine no high winds,Car
200901CW10325,27-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.561821,Darkness - lights lit,Camden,None,-0.149186,1,2,Metropolitan Police,Dry,Single carriageway,30,21:58,Urban,Fine no high winds,Car
200901CW10327,27-02-2021,Friday,Give way or uncontrolled,T or staggered junction,Fatal,51.497784,Darkness - lights lit,Westminster,None,-0.148612,1,2,Metropolitan Police,Dry,Single carriageway,30,23:55,Urban,Fine no high winds,Car
200901CW10329,28-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.503486,Daylight,Westminster,None,-0.150975,1,1,Metropolitan Police,Dry,Dual carriageway,30,14:23,Urban,Fine no high winds,Car
200901CW10330,28-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.526581,Daylight,Camden,None,-0.132884,1,1,Metropolitan Police,Dry,Dual carriageway,30,14:40,Urban,Fine no high winds,Car
200901CW10331,28-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.515476,Daylight,Westminster,None,-0.187387,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
200901CW10332,28-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.517919,Daylight,Camden,None,-0.131076,1,1,Metropolitan Police,Dry,Single carriageway,30,10:30,Urban,Fine no high winds,Motorcycle 50cc and under
200901CW10333,18-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.543524,Darkness - lights lit,Camden,None,-0.152236,1,1,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Car
200901CW10334,21-02-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.535713,Daylight,Westminster,None,-0.176056,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Motorcycle 125cc and under
200901CW10336,27-02-2021,Friday,Auto traffic signal,Crossroads,Fatal,51.523004,Daylight,Westminster,None,-0.151193,1,2,Metropolitan Police,Dry,Dual carriageway,30,06:56,Urban,Fine no high winds,Car
200901CW10339,02-03-2021,Monday,Auto traffic signal,T or staggered junction,Fatal,51.527691,Daylight,Westminster,None,-0.215735,1,2,Metropolitan Police,Dry,Single carriageway,30,09:20,Urban,Fine no high winds,Car
200901CW10340,12-02-2021,Thursday,Auto traffic signal,T or staggered junction,Fatal,51.517908,Darkness - lights lit,Camden,None,-0.119113,1,2,Metropolitan Police,Wet or damp,One way street,30,17:15,Urban,Snowing no high winds,Car
200901CW10341,02-03-2021,Monday,Auto traffic signal,T or staggered junction,Fatal,51.507034,Daylight,Westminster,None,-0.142185,1,2,Metropolitan Police,Dry,Single carriageway,30,07:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10343,02-03-2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.521078,Daylight,Westminster,None,-0.17174,1,2,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10344,02-03-2021,Monday,Auto traffic signal,Crossroads,Fatal,51.514578,Daylight,Westminster,None,-0.147211,1,1,Metropolitan Police,Dry,Single carriageway,30,18:32,Urban,Fine no high winds,Car
200901CW10345,02-03-2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.541139,Darkness - lights lit,Camden,None,-0.137912,1,2,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
200901CW10346,02-03-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.522645,Darkness - lights lit,Camden,None,-0.122954,1,1,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Car
200901CW10347,03-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.55483,Daylight,Camden,None,-0.19693,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,06:45,Urban,Fine no high winds,Car
200901CW10348,03-03-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.502243,Daylight,Westminster,None,-0.14627,1,1,Metropolitan Police,Dry,Single carriageway,30,10:47,Urban,Fine no high winds,Car
200901CW10349,26-02-2021,Thursday,Auto traffic signal,Crossroads,Fatal,51.557691,Daylight,Camden,None,-0.195807,1,1,Metropolitan Police,Dry,Dual carriageway,30,13:32,Urban,Fine no high winds,Car
200901CW10350,23-02-2021,Monday,Give way or uncontrolled,T or staggered junction,Fatal,51.543545,Darkness - lights lit,Camden,None,-0.136516,1,2,Metropolitan Police,Dry,Single carriageway,30,18:35,Urban,Fine no high winds,Car
200901CW10351,26-02-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.527303,Daylight,Camden,None,-0.144387,1,1,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car
200901CW10353,18-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.541551,Darkness - lights lit,Camden,None,-0.141212,1,2,Metropolitan Police,Dry,Single carriageway,30,19:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901CW10355,26-02-2021,Thursday,Give way or uncontrolled,Crossroads,Fatal,51.488452,Daylight,Westminster,None,-0.144237,1,2,Metropolitan Police,Dry,Single carriageway,30,11:08,Urban,Fine no high winds,Car
200901CW10356,02-03-2021,Monday,Auto traffic signal,Crossroads,Fatal,51.541784,Daylight,Camden,None,-0.173218,1,2,Metropolitan Police,Dry,Single carriageway,30,09:20,Urban,Fine no high winds,Car
200901CW10357,03-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.522232,Daylight,Camden,None,-0.114033,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,13:55,Urban,Raining no high winds,Car
200901CW10359,04-03-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.520989,Daylight,Westminster,None,-0.189186,1,1,Metropolitan Police,Dry,Single carriageway,30,09:00,Urban,Fine no high winds,Car
200901CW10360,04-03-2021,Wednesday,Auto traffic signal,Crossroads,Fatal,51.524242,Daylight,Camden,None,-0.115969,1,2,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,Car
200901CW10364,18-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.491484,Daylight,Westminster,None,-0.125675,1,2,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
200901CW10365,04-03-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.527009,Daylight,Camden,None,-0.131569,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:45,Urban,Fine no high winds,Car
200901CW10366,04-03-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Fatal,51.52392,Daylight,Westminster,None,-0.169464,1,1,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Car
200901CW10367,03-03-2021,Tuesday,Auto traffic signal,Crossroads,Fatal,51.490156,Darkness - lights lit,Westminster,None,-0.132644,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:45,Urban,Raining no high winds,Car
200901CW10369,27-02-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.520134,Daylight,Westminster,None,-0.168895,1,2,Metropolitan Police,Dry,Dual carriageway,50,09:00,Urban,Fine no high winds,Motorcycle over 500cc
200901CW10370,23-02-2021,Monday,Auto traffic signal,Crossroads,Fatal,51.513901,Daylight,Westminster,None,-0.178657,1,2,Metropolitan Police,Dry,Single carriageway,30,16:55,Urban,Fine no high winds,Car
200901CW10371,05-03-2021,Thursday,Give way or uncontrolled,Crossroads,Fatal,51.520378,Daylight,Westminster,None,-0.155768,1,2,Metropolitan Police,Dry,Single carriageway,30,12:18,Urban,Fine no high winds,Car
200901CW10374,03-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Fatal,51.514096,Daylight,Westminster,None,-0.150833,1,1,Metropolitan Police,Dry,Single carriageway,30,14:50,Urban,Fine no high winds,Car
200901CW10375,28-02-2021,Saturday,Give way or uncontrolled,T or staggered junction,Fatal,51.543029,Darkness - lights lit,Camden,None,-0.166534,1,2,Metropolitan Police,Dry,Single carriageway,30,21:30,Urban,Fine no high winds,Car
200901CW10376,22-02-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Fatal,51.520143,Daylight,Westminster,None,-0.163706,1,1,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Car
200901CW10377,02-03-2021,Monday,Auto traffic signal,Crossroads,Fatal,51.510045,Daylight,Westminster,None,-0.13356,1,2,Metropolitan Police,Dry,Single carriageway,30,14:27,Urban,Fine no high winds,Car
200901CW10379,26-02-2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.564129,Daylight,Camden,None,-0.152988,1,2,Metropolitan Police,Dry,Single carriageway,30,15:45,Urban,Other,Car
